City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
264,mount gambier,-37.8333,140.7667,60.8,67,100,5.75,AU,1620286182
265,nachingwea,-10.3833,38.7667,71.47,72,100,8.77,TZ,1620286183
266,ribeira grande,38.5167,-28.7,62.6,94,75,18.41,PT,1620286183
267,kutum,14.2,24.6667,86.04,25,10,10.56,SD,1620286184
268,santa marta,11.2408,-74.199,82.99,79,100,12.59,CO,1620286184
269,sakaiminato,35.55,133.2333,68.0,52,75,11.5,JP,1620286185
270,corn island,12.1694,-83.0418,81.05,76,10,13.87,NI,1620286185
271,kuvandyk,51.4781,57.3552,55.0,49,7,14.12,RU,1620286023
272,marawi,7.9986,124.2928,84.0,84,100,8.99,PH,1620286186
273,labuan,5.2767,115.2417,84.2,84,40,5.75,MY,1620286186
274,penzance,50.1186,-5.5371,41.0,93,75,13.8,GB,1620286187
275,plastun,44.7561,136.2939,64.72,41,84,11.18,RU,1620286187
276,merauke,-8.4667,140.3333,84.11,69,21,16.53,ID,1620285907
277,paita,-5.0892,-81.1144,69.66,80,96,11.45,PE,1620286188
278,merritt island,28.5392,-80.672,73.99,88,1,4.61,US,1620285938
279,chulym,55.0997,80.9572,72.64,32,100,11.72,RU,1620286188
280,hede,33.7681,120.2517,74.98,53,100,16.13,CN,1620286189
281,roros,62.5747,11.3842,28.4,59,0,11.5,NO,1620286189
282,komsomolskiy,40.4272,71.7189,75.2,50,100,6.91,UZ,1620286189
283,lincoln,40.8,-96.667,46.99,81,1,14.97,US,1620286074
284,mar del plata,-38.0023,-57.5575,46.99,93,40,4.61,AR,1620285915
285,constitucion,-35.3333,-72.4167,55.51,69,0,4.74,CL,1620286190
286,bac lieu,9.285,105.7244,89.58,59,100,19.57,VN,1620286190
287,iqaluit,63.7506,-68.5145,28.4,93,90,6.91,CA,1620286191
288,jadu,31.953,12.0261,67.98,45,100,8.1,LY,1620286191
289,ozernovskiy,51.5,156.5167,40.17,79,100,8.66,RU,1620286192
290,kansanshi,-12.0951,26.4273,66.22,69,10,7.27,ZM,1620286192
291,san cristobal,7.7669,-72.225,66.81,98,100,0.72,VE,1620286192
292,letlhakeng,-24.0944,25.0298,68.38,29,0,9.1,BW,1620286193
293,maracaju,-21.6144,-55.1683,61.92,84,100,8.77,BR,1620286193
294,faya,18.3851,42.4509,77.0,13,0,2.48,SA,1620286194
295,saskylakh,71.9167,114.0833,31.87,90,99,10.54,RU,1620286194
296,severo-kurilsk,50.6789,156.125,34.2,95,100,13.42,RU,1620286194
297,oranjemund,-28.55,16.4333,59.65,80,0,7.11,NA,1620286195
298,garachine,8.0647,-78.3628,77.68,84,79,3.42,PA,1620286195
299,sechura,-5.5569,-80.8222,69.26,79,98,12.1,PE,1620286195
300,nurlat,54.4277,50.8051,53.76,65,89,10.47,RU,1620286196
301,phan thiet,10.9333,108.1,90.23,59,51,20.92,VN,1620286196
302,jambi,-1.6,103.6167,89.64,63,100,0.18,ID,1620286197
303,isangel,-19.55,169.2667,82.4,78,20,5.64,VU,1620286197
304,cururupu,-1.8283,-44.8683,72.09,97,94,1.32,BR,1620286198
305,kollam,8.8833,76.6,91.4,62,40,4.61,IN,1620286198
306,borogontsy,62.6683,131.1683,44.78,55,100,7.0,RU,1620286199
307,juruti,-2.1522,-56.0922,72.45,91,94,1.01,BR,1620286199
308,bambanglipuro,-7.95,110.2833,85.23,70,100,12.33,ID,1620286199
309,hluti,-27.2167,31.6167,68.97,49,5,1.74,SZ,1620286200
310,kumi,36.1136,128.336,77.0,25,20,4.61,KR,1620286200
311,krasnaya gora,52.9995,31.6023,50.0,87,90,22.37,RU,1620286201
312,airai,-8.9266,125.4092,64.63,85,99,3.44,TL,1620286201
313,mlonggo,-6.5333,110.7,91.4,52,20,6.91,ID,1620286202
314,istisu,40.9457,48.0738,55.4,76,75,4.61,AZ,1620286203
315,andenes,69.3143,16.1194,39.2,60,20,12.66,NO,1620286204
316,makat,47.6469,53.3463,64.67,25,42,10.6,KZ,1620286205
317,shingu,33.7333,135.9833,68.0,64,0,8.05,JP,1620286205
318,licheng,23.2955,113.8284,87.8,58,75,4.47,CN,1620286207
319,thinadhoo,0.5333,72.9333,84.61,66,86,5.01,MV,1620286207
320,pangnirtung,66.1451,-65.7125,22.86,83,27,6.91,CA,1620286208
321,ladario,-19.0047,-57.6017,56.57,78,35,6.31,BR,1620286208
322,bogale,16.2833,95.4,103.23,26,25,5.21,MM,1620286209
323,henties bay,-22.116,14.2845,63.0,93,100,3.0,NA,1620286209
324,geraldton,-28.7667,114.6,73.4,64,75,10.36,AU,1620286209
325,virginia beach,36.8529,-75.978,61.0,59,22,1.01,US,1620286210
326,pljevlja,43.3333,19.3333,42.8,70,75,4.61,ME,1620286210
327,maldonado,-34.6667,-54.9167,57.2,62,75,14.97,UY,1620286211
328,nantucket,41.2835,-70.0995,50.0,87,90,9.22,US,1620286211
329,buraydah,26.326,43.975,93.2,18,0,9.22,SA,1620286211
330,sauda,59.6506,6.3542,44.01,56,75,11.5,NO,1620286212
331,vao,-22.6667,167.4833,74.66,80,8,5.1,NC,1620286212
